Individual_Band,Site,Nest,Sex,Experiment,Treatment,Capture_Date,Age,Mass,Bill+Head,Flat_Wing,bk,Bacteria_Killing_Assay,positive,bka_date,Plasma_Analyzed,Attempt_Number,Clutch_Initiation_Date,Clutch_Size,Brood_Size_Hatching,Day6_Brood_Mass,Nest_Fate_Date,Nest_Fate,.fledged,ylaydate,Treatment2,Nestling_Band,Nestling_Banding_Date,Current_Brood_Size,Nestling_Mass,Nestling_Flat_Wing,Genetic_Mom,Genetic_Dad,Nestling_Fate,Adult_or_Nestling,temp,Unit_Box
212110281,Unit_1,315,F,Water,Water,2019-05-29,ASY,22.5,28.9,115,0.455938697318008,0.544061302681992,130.5,2019-05-29,Stress/1st,1,2019-05-14,6,3,NA,2019-06-27,Fledged,3,134,Water,281128627,2019-06-15,3,21,55,NA,NA,Fledged,Nestling,16.4467592594167,Unit_1_315
212110285,Unit_1,335,F,Water,Water,2019-05-26,ASY,25,28.8,115,NA,NA,NA,NA,NA,1,2019-05-13,6,6,NA,2019-06-26,Fledged,3,133,Water,281128610,2019-06-14,6,16.5,55,NA,NA,Fledged,Nestling,16.3078703705,Unit_1_335
212110285,Unit_1,335,F,Water,Water,2019-05-26,ASY,25,28.8,115,NA,NA,NA,NA,NA,1,2019-05-13,6,6,NA,2019-06-26,Fledged,3,133,Water,281128611,2019-06-14,6,14.5,52,NA,NA,Died,Nestling,16.3078703705,Unit_1_335
212110285,Unit_1,335,F,Water,Water,2019-05-26,ASY,25,28.8,115,NA,NA,NA,NA,NA,1,2019-05-13,6,6,NA,2019-06-26,Fledged,3,133,Water,281128612,2019-06-14,6,16,50,NA,NA,Fledged,Nestling,16.3078703705,Unit_1_335
212110285,Unit_1,335,F,Water,Water,2019-05-26,ASY,25,28.8,115,NA,NA,NA,NA,NA,1,2019-05-13,6,6,NA,2019-06-26,Fledged,3,133,Water,281128613,2019-06-14,6,15.75,50,NA,NA,Died,Nestling,16.3078703705,Unit_1_335
212110285,Unit_1,335,F,Water,Water,2019-05-26,ASY,25,28.8,115,NA,NA,NA,NA,NA,1,2019-05-13,6,6,NA,2019-06-26,Fledged,3,133,Water,281128614,2019-06-14,6,16.5,49,NA,NA,Fledged,Nestling,16.3078703705,Unit_1_335
212110285,Unit_1,335,F,Water,Water,2019-05-26,ASY,25,28.8,115,NA,NA,NA,NA,NA,1,2019-05-13,6,6,NA,2019-06-26,Fledged,3,133,Water,281128615,2019-06-14,6,15.5,53,NA,NA,Died,Nestling,16.3078703705,Unit_1_335
212110288,Unit_1,338,F,Water,Water,2019-05-27,ASY,21,27.8,116,NA,NA,NA,NA,NA,1,2019-05-16,5,5,NA,2019-06-28,Fledged,3,136,Water,281128616,2019-06-14,4,20,56,NA,NA,Fledged,Nestling,16.3078703705,Unit_1_338
212110288,Unit_1,338,F,Water,Water,2019-05-27,ASY,21,27.8,116,NA,NA,NA,NA,NA,1,2019-05-16,5,5,NA,2019-06-28,Fledged,3,136,Water,281128617,2019-06-14,4,13,38,NA,NA,Died,Nestling,16.3078703705,Unit_1_338
212110288,Unit_1,338,F,Water,Water,2019-05-27,ASY,21,27.8,116,NA,NA,NA,NA,NA,1,2019-05-16,5,5,NA,2019-06-28,Fledged,3,136,Water,281128618,2019-06-14,4,19.5,54,NA,NA,Fledged,Nestling,16.3078703705,Unit_1_338
212110288,Unit_1,338,F,Water,Water,2019-05-27,ASY,21,27.8,116,NA,NA,NA,NA,NA,1,2019-05-16,5,5,NA,2019-06-28,Fledged,3,136,Water,281128619,2019-06-14,4,18.5,53,NA,NA,Fledged,Nestling,16.3078703705,Unit_1_338
232146942,Unit_1,423,F,Water,Water,2019-05-27,ASY,21,29.1,117,NA,NA,NA,NA,NA,1,2019-05-12,7,6,NA,2019-06-27,Fledged,6,132,Water,281128634,2019-06-15,6,14,35,NA,NA,Fledged,Nestling,16.4467592594167,Unit_1_423
232146942,Unit_1,423,F,Water,Water,2019-05-27,ASY,21,29.1,117,NA,NA,NA,NA,NA,1,2019-05-12,7,6,NA,2019-06-27,Fledged,6,132,Water,281128635,2019-06-15,6,15.25,42,NA,NA,Fledged,Nestling,16.4467592594167,Unit_1_423
232146942,Unit_1,423,F,Water,Water,2019-05-27,ASY,21,29.1,117,NA,NA,NA,NA,NA,1,2019-05-12,7,6,NA,2019-06-27,Fledged,6,132,Water,281128636,2019-06-15,6,17.25,43,NA,NA,Fledged,Nestling,16.4467592594167,Unit_1_423
232146942,Unit_1,423,F,Water,Water,2019-05-27,ASY,21,29.1,117,NA,NA,NA,NA,NA,1,2019-05-12,7,6,NA,2019-06-27,Fledged,6,132,Water,281128637,2019-06-15,6,14.75,35,NA,NA,Fledged,Nestling,16.4467592594167,Unit_1_423
